line,Comfort,Culture,Connectivity,Reliability,Cost_of_Living_update,Crowding_update,Security_update,Overall_Score
Metropolitan,61.377527,16.8641864996459,58.0825977646938,45.4731193972492,95.0,77.9309404264817,94.075829235239,64.1148857604728
Northern,46.527092,95.5968477765374,64.1226829293096,89.0637056050171,53.0366834299578,61.5724825297963,47.4012653785855,65.331537092743389
District,56.483247,67.2885701040121,55.1605255037173,59.0818204009617,37.8832425021176,60.5134783818798,68.6434257780789,57.864901381538196
Piccadilly,63.65616,57.9357852606984,52.0677018755357,25.1665081543933,65.2110789684588,63.3436301036765,70.9606775731483,56.905934562273
Central,57.166716,41.6620246512746,61.5738536296451,22.8584344812793,51.4513789948476,65.7793405137214,64.5127816256764,52.143504270920623
Bakerloo,51.856813,76.5809674135687,40.6268104676661,62.3852670313487,40.0486501794312,70.6117691019413,10.4088525885554,50.359875683215918
Jubilee,68.794335,48.8794656632159,59.6441823765819,52.5868882828991,49.6043843797428,49.2758129325528,38.8069644360215,52.513147581573435
Circle,63.836067,81.0384707685802,37.2933093798488,20.0551916095562,33.1002555288242,61.0735453465264,34.1422561130885,47.219870820917755
Hammersmith & City,62.259073,39.985735422626,40.6381661199559,20.0551916095562,39.0692215397779,61.0735453465264,45.956895923813,44.148261280322195
Victoria,44.852638,21.0350040573123,55.6037563200999,62.379513609341,35.5951044768425,41.4305010914629,25.0910513477934,40.855366986121716